TIME	Aqua: aOC(O)C(O)[O] + aO2 -> aOC(O)C(=O)O + aHO2	Aqua: aOC(O)C(O)(O)O[O] -> aHO2 + aOC(O)C(=O)O	Gas: O=N(=O)OC1C2OOC1(C)C([O])(O)C(=C2N(=O)=O)O -> CC(C(	Aqua: aOC(O)C(=O)O[O] -> aOC(O)C(=O)O + aHO2 + [aH2O]	Aqua: aO=C([O-])C(O)O[O] -> aHO2 + aOC(O)C(=O)[O-] + [aH	Aqua: aO=CC(O)[O] + aO2 -> aO=C(O)C=O + aHO2	other sources	Gas: O=C(O)C=O -> HO2 + HO2 + CO	Aqua: aOC(O)C(=O)[O-] + aHO -> aO=C([O-])[C](O)O + aO=C(	Gas: OH + O=C(O)C=O -> CO + HO2	Aqua: aOC(O)C(=O)[O-] + aNO3 -> aO=C([O-])[C](O)O + aO=C	other sinks
30.8611	1.00809E-17	1.06573E-15	4.70361E-16	1.1844E-16	2.41728E-16	3.24724E-18	1.29134E-14	-4.91016E-14	-7.15106E-16	-6.93501E-15	-5.97717E-17	-4.66971E-15
31.0278	1.06588E-17	1.19918E-15	5.54883E-16	1.3192E-16	2.60876E-16	3.41696E-18	1.36782E-14	-5.12164E-14	-7.99391E-16	-7.88326E-15	-5.69175E-17	-4.76898E-15
31.1944	1.1359E-17	1.33528E-15	6.44999E-16	1.4581E-16	2.84648E-16	3.62558E-18	1.44914E-14	-5.3028E-14	-8.87695E-16	-8.85481E-15	-5.44812E-17	-4.92248E-15
31.3611	1.21706E-17	1.4735E-15	7.40071E-16	1.60049E-16	3.06531E-16	3.86937E-18	1.53516E-14	-5.45698E-14	-9.79603E-16	-9.84154E-15	-5.23721E-17	-5.11631E-15
31.5278	1.30862E-17	1.61342E-15	8.39429E-16	1.74586E-16	3.3258E-16	4.14673E-18	1.62503E-14	-5.58707E-14	-1.07469E-15	-1.08353E-14	-5.05235E-17	-5.34695E-15
31.6944	1.41006E-17	1.75467E-15	9.42397E-16	1.89382E-16	3.60513E-16	4.45471E-18	1.71837E-14	-5.69559E-14	-1.17253E-15	-1.18281E-14	-4.88855E-17	-5.60636E-15
31.8611	1.52093E-17	1.89697E-15	1.04832E-15	2.04404E-16	3.9015E-16	4.79254E-18	1.81465E-14	-5.78474E-14	-1.27269E-15	-1.28121E-14	-4.7419E-17	-5.889E-15
32.0278	1.64108E-17	2.04007E-15	1.15658E-15	2.1963E-16	4.21319E-16	5.15933E-18	1.91333E-14	-5.8565E-14	-1.37471E-15	-1.37797E-14	-4.60947E-17	-6.19008E-15
32.1944	1.77022E-17	2.18383E-15	1.26663E-15	2.35046E-16	4.53857E-16	5.55434E-18	2.01388E-14	-5.91258E-14	-1.47818E-15	-1.47238E-14	-4.48884E-17	-6.50553E-15
32.3611	1.90829E-17	2.32812E-15	1.37801E-15	2.50639E-16	4.87605E-16	5.97744E-18	2.11576E-14	-5.95453E-14	-1.58263E-15	-1.56375E-14	-4.37824E-17	-6.83174E-15
32.5278	2.05509E-17	2.47289E-15	1.49035E-15	2.66406E-16	5.22402E-16	6.42743E-18	2.21843E-14	-5.98372E-14	-1.68766E-15	-1.65146E-14	-4.27615E-17	-7.1656E-15
32.6944	2.21054E-17	2.61812E-15	1.6034E-15	2.82347E-16	5.58094E-16	6.90462E-18	2.32137E-14	-6.00142E-14	-1.79284E-15	-1.73494E-14	-4.18139E-17	-7.5043E-15
32.8611	2.37426E-17	2.76382E-15	1.71699E-15	2.98466E-16	5.94528E-16	7.4078E-18	2.42412E-14	-6.00874E-14	-1.89778E-15	-1.81369E-14	-4.09313E-17	-7.84542E-15
33.0278	2.54649E-17	2.91004E-15	1.83105E-15	3.14768E-16	6.31551E-16	7.93657E-18	2.52623E-14	-6.00672E-14	-2.00209E-15	-1.88726E-14	-4.01032E-17	-8.18674E-15
33.1944	2.72638E-17	3.05682E-15	1.94561E-15	3.3126E-16	6.69012E-16	8.48965E-18	2.6273E-14	-5.9963E-14	-2.10542E-15	-1.95527E-14	-3.93259E-17	-8.52632E-15
33.3611	2.91371E-17	3.20423E-15	2.06075E-15	3.47946E-16	7.06763E-16	9.06543E-18	2.72698E-14	-5.97833E-14	-2.20745E-15	-2.01743E-14	-3.85932E-17	-8.86241E-15
33.5278	3.10796E-17	3.35229E-15	2.1766E-15	3.64832E-16	7.44659E-16	9.66278E-18	2.82495E-14	-5.95362E-14	-2.30785E-15	-2.07351E-14	-3.79017E-17	-9.19347E-15
33.6944	3.30842E-17	3.501E-15	2.29334E-15	3.81915E-16	7.82556E-16	1.02798E-17	2.92095E-14	-5.92288E-14	-2.40636E-15	-2.12333E-14	-3.72477E-17	-9.51812E-15
33.8611	3.51438E-17	3.65033E-15	2.41113E-15	3.99189E-16	8.20314E-16	1.09132E-17	3.01476E-14	-5.88679E-14	-2.50272E-15	-2.16681E-14	-3.66294E-17	-9.83511E-15
34.0278	3.72496E-17	3.80015E-15	2.53017E-15	4.16641E-16	8.57794E-16	1.15616E-17	3.10618E-14	-5.84595E-14	-2.59671E-15	-2.20392E-14	-3.60441E-17	-1.01434E-14
34.1944	3.93924E-17	3.95029E-15	2.65062E-15	4.34247E-16	8.94862E-16	1.22209E-17	3.19503E-14	-5.80096E-14	-2.6881E-15	-2.23468E-14	-3.54905E-17	-1.04419E-14
34.3611	4.15612E-17	4.10047E-15	2.77262E-15	4.51975E-16	9.31383E-16	1.28883E-17	3.28116E-14	-5.75232E-14	-2.77671E-15	-2.25918E-14	-3.4967E-17	-1.07298E-14
34.5278	4.37454E-17	4.25031E-15	2.8963E-15	4.69781E-16	9.67227E-16	1.35609E-17	3.36442E-14	-5.70052E-14	-2.86237E-15	-2.27755E-14	-3.44736E-17	-1.10063E-14
34.6944	4.59331E-17	4.39935E-15	3.02175E-15	4.8761E-16	1.00227E-15	1.4234E-17	3.44465E-14	-5.646E-14	-2.94493E-15	-2.28995E-14	-3.4009E-17	-1.12707E-14
34.8611	4.8112E-17	4.54702E-15	3.14904E-15	5.05396E-16	1.03637E-15	1.49048E-17	3.52172E-14	-5.58915E-14	-3.02423E-15	-2.2966E-14	-3.35735E-17	-1.15223E-14
35.0278	5.027E-17	4.69264E-15	3.27823E-15	5.2306E-16	1.06942E-15	1.5569E-17	3.59544E-14	-5.53035E-14	-3.10013E-15	-2.29771E-14	-3.31662E-17	-1.17605E-14
35.0833	5.11243E-17	4.75015E-15	3.33044E-15	5.30073E-16	1.08232E-15	1.58322E-17	3.62395E-14	-5.50636E-14	-3.12951E-15	-2.29667E-14	-3.3011E-17	-1.18519E-14
35.25	1.67667E-16	4.95492E-15	2.91174E-15	6.41917E-16	3.11095E-15	5.63823E-17	6.95353E-14	-2.10409E-14	-6.94469E-15	-7.27047E-15	-6.26003E-17	-2.64496E-14
35.3333	1.68E-13	8.17E-14	2.1141E-15	2.62324E-14	1.61293E-13	1.56491E-14	7.51208E-14	-3.87363E-19	-1.29531E-13	-2.44186E-20	-9.00936E-16	-3.34796E-14
35.5	1.57982E-13	8.06501E-14	2.44709E-15	6.47557E-14	1.50901E-13	3.98859E-14	8.91378E-14	-2.82702E-18	-2.08789E-13	-1.78613E-19	-2.05638E-15	-2.25681E-14
35.6667	1.09645E-13	5.7766E-14	2.57808E-15	6.22895E-14	1.33004E-13	3.83432E-14	9.33117E-14	-5.78709E-18	-2.12886E-13	-3.68842E-19	-2.18417E-15	-1.70644E-14
35.8333	1.08464E-13	5.73181E-14	2.66456E-15	6.19617E-14	1.23601E-13	3.81241E-14	9.87483E-14	-8.4539E-18	-2.17467E-13	-5.42625E-19	-2.23043E-15	-1.81649E-14
36	1.08361E-13	5.73893E-14	2.73353E-15	6.20124E-14	1.16357E-13	3.81396E-14	1.04231E-13	-1.11094E-17	-2.21481E-13	-7.16698E-19	-2.25358E-15	-2.07148E-14
36.1667	1.08253E-13	5.74396E-14	2.7918E-15	6.20155E-14	1.09646E-13	3.81263E-14	1.095E-13	-1.38671E-17	-2.23902E-13	-8.9729E-19	-2.26011E-15	-2.39888E-14
36.3333	1.07871E-13	5.73328E-14	2.84253E-15	6.18452E-14	1.03251E-13	3.80066E-14	1.1433E-13	-1.669E-17	-2.24669E-13	-1.08066E-18	-2.25523E-15	-2.76795E-14
