Time	Sulfate(C2w)	Time	Sulfate(C2wo)	Time	Nitrate(C2w)	Time	Nitrate(C2wo)	Time	Ammonium(C2w)	Time	Ammonium(C2wo)
37.05861	51.11053	37.67083	13.03498	37.05861	35.29798	37.67083	32.64999	37.05861	26.39214	37.67083	12.7851
37.22528	51.13732	37.8375	13.09311	37.22528	34.42186	37.8375	32.73073	37.22528	25.74486	37.8375	12.82759
37.39194	51.1601	38.00417	13.15035	37.39194	33.67886	38.00417	32.81085	37.39194	25.21674	38.00417	12.86962
37.55861	51.17926	38.17083	13.20646	37.55861	33.08455	38.17083	32.89004	37.55861	24.80472	38.17083	12.9112
37.72528	51.19537	38.3375	13.26141	37.72528	32.6351	38.3375	32.96805	37.72528	24.49584	38.3375	12.95221
37.89194	51.20919	38.50417	13.3152	37.89194	32.31323	38.50417	33.04525	37.89194	24.27354	38.50417	12.9926
38.05861	51.22101	38.67083	13.36759	38.05861	32.09653	38.67083	33.12078	38.05861	24.11964	38.67083	13.03229
38.22528	51.23147	38.8375	13.41856	38.22528	31.9614	38.8375	33.19525	38.22528	24.01848	38.8375	13.07126
38.39194	51.24107	39.00417	13.46801	38.39194	31.88777	39.00417	33.26811	38.39194	23.9562	39.00417	13.10937
38.55861	51.24963	39.17083	13.51582	38.55861	31.85904	39.17083	33.33941	38.55861	23.922	39.17083	13.14663
38.72528	51.25818	39.3375	13.562	38.72528	31.86177	39.3375	33.40911	38.72528	23.90832	39.3375	13.1829
38.89194	51.26591	39.50417	13.60645	38.89194	31.88668	39.50417	33.47675	38.89194	23.90868	39.50417	13.21827
39.05861	51.27362	39.67083	13.64909	39.05861	31.92614	39.67083	33.54285	39.05861	23.91894	39.67083	13.25252
39.22528	51.28112	39.8375	13.69003	39.22528	31.97532	39.8375	33.60671	39.22528	23.93604	39.8375	13.28578
39.39194	51.28846	40.00417	13.72901	39.39194	32.03062	40.00417	33.66871	39.39194	23.95764	40.00417	13.31786
39.55861	51.29539	40.17083	13.76618	39.55861	32.08921	40.17083	33.72847	39.55861	23.98212	40.17083	13.34884
39.72528	51.30225	40.3375	13.80148	39.72528	32.14946	40.3375	33.78644	39.72528	24.00894	40.3375	13.37863
39.89194	51.30885	40.50417	13.83488	39.89194	32.21008	40.50417	33.84217	39.89194	24.03666	40.50417	13.40725
40.05861	51.3155	40.67083	13.86638	40.05861	32.27033	40.67083	33.8958	40.05861	24.0651	40.67083	13.43475
40.22528	51.32173	40.8375	13.89607	40.22528	32.32939	40.8375	33.9475	40.22528	24.09372	40.8375	13.46101
40.39194	51.32784	41.00417	13.92398	40.39194	32.38734	41.00417	33.99753	40.39194	24.12252	41.00417	13.48621
40.55861	51.33374	41.17083	13.95015	40.55861	32.44349	41.17083	34.04582	40.55861	24.15096	41.17083	13.51026
40.72528	51.33924	41.3375	13.97459	40.72528	32.49827	41.3375	34.09269	40.72528	24.17922	41.3375	13.5333
40.89194	51.34464	41.50417	13.99749	40.89194	32.55168	41.50417	34.13875	40.89194	24.20712	41.50417	13.5555
41.05861	51.34975	41.67083	14.01879	41.05861	32.60374	41.67083	34.18426	41.05861	24.23466	41.67083	13.57684
41.22528	51.35457	41.8375	14.03876	41.22528	32.65492	41.8375	34.23051	41.22528	24.26166	41.8375	13.59774
41.39194	51.3592	42.00417	14.05739	41.39194	32.70586	42.00417	34.27831	41.39194	24.28848	42.00417	13.6183
41.55861	51.36357	42.17083	14.07493	41.55861	32.75729	42.17083	34.32978	41.55861	24.31494	42.17083	13.639
41.72528	51.36757	42.3375	14.09133	41.72528	32.80978	42.3375	34.38683	41.72528	24.34104	42.3375	13.66035
41.89194	51.37151	42.50417	14.107	41.89194	32.86506	42.50417	34.45388	41.89194	24.36732	42.50417	13.68326
42.05861	51.37532	42.67083	14.12191	42.05861	32.92457	42.67083	34.53713	42.05861	24.39378	42.67083	13.70893
42.22528	51.37891	42.8375	14.13641	42.22528	32.99133	42.8375	34.64681	42.22528	24.42096	42.8375	13.73958
42.39194	51.38233	43.00417	14.15068	42.39194	33.06939	43.00417	34.79852	42.39194	24.44904	43.00417	13.77853
42.55861	51.38583	43.17083	14.16504	42.55861	33.16527	43.17083	35.00439	42.55861	24.4791	43.17083	13.82994
