TIME	Aqua: aO=C([O-])C(O)[O] + aO2 -> aO=C(O)C(=O)[O-] + aHO2	Aqua: aO=C(O)C(O)[O] + aO2 -> aO=C(O)C(=O)O + aHO2	other sources	Aqua: FEC2O42m -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 + aO	Aqua: FEC2O43mmm -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 +	Aqua: aO=C(O)C(=O)[O-] + aNO3 -> aO=C([O-])C(=O)[O] + NO	Aqua: aNO3 + aO=C([O-])C(=O)[O-] -> NO3m + aO=C([O-])C(=	other sinks
39.5556	1.46234E-15	8.08488E-15	6.06211E-15	-7.87229E-16	-3.82461E-16	-1.72163E-15	-5.80752E-17	-2.02502E-15
39.7222	1.4355E-15	7.90034E-15	5.98038E-15	-7.96067E-16	-4.0438E-16	-1.76898E-15	-5.99754E-17	-2.01271E-15
39.8889	1.40664E-15	7.70022E-15	5.88092E-15	-8.02319E-16	-4.27579E-16	-1.82072E-15	-6.21016E-17	-1.99322E-15
40.0556	1.37563E-15	7.48604E-15	5.76455E-15	-8.0612E-16	-4.52225E-16	-1.87741E-15	-6.44677E-17	-1.96655E-15
40.2222	1.34241E-15	7.25952E-15	5.63235E-15	-8.07611E-16	-4.78546E-16	-1.93982E-15	-6.7097E-17	-1.93286E-15
40.3889	1.30706E-15	7.02252E-15	5.48553E-15	-8.06948E-16	-5.06848E-16	-2.00891E-15	-7.00233E-17	-1.89236E-15
40.5556	1.26972E-15	6.777E-15	5.32549E-15	-8.04289E-16	-5.37527E-16	-2.08596E-15	-7.3293E-17	-1.84536E-15
40.7222	1.23061E-15	6.52516E-15	5.15382E-15	-7.99826E-16	-5.71104E-16	-2.17259E-15	-7.69685E-17	-1.79225E-15
40.8889	1.19001E-15	6.26932E-15	4.9723E-15	-7.93758E-16	-6.08254E-16	-2.271E-15	-8.11339E-17	-1.73351E-15
41.0556	1.14829E-15	6.01207E-15	4.7829E-15	-7.86318E-16	-6.4986E-16	-2.38409E-15	-8.5903E-17	-1.66969E-15
41.2222	1.10586E-15	5.7563E-15	4.58785E-15	-7.77754E-16	-6.97063E-16	-2.51584E-15	-9.14323E-17	-1.60141E-15
41.3889	1.06325E-15	5.50529E-15	4.38965E-15	-7.68326E-16	-7.5133E-16	-2.6718E-15	-9.79404E-17	-1.52936E-15
41.5556	1.02109E-15	5.26299E-15	4.19119E-15	-7.58251E-16	-8.14474E-16	-2.85994E-15	-1.05741E-16	-1.45428E-15
41.7222	9.80191E-16	5.03432E-15	3.99592E-15	-7.47585E-16	-8.88571E-16	-3.09198E-15	-1.15298E-16	-1.37698E-15
41.8889	9.41634E-16	4.8258E-15	3.80813E-15	-7.35892E-16	-9.75418E-16	-3.38587E-15	-1.2732E-16	-1.29837E-15
42.0556	9.06937E-16	4.64673E-15	3.63356E-15	-7.21469E-16	-1.07481E-15	-3.77013E-15	-1.42931E-16	-1.21939E-15
42.2222	8.78406E-16	4.51141E-15	3.48052E-15	-6.99497E-16	-1.17953E-15	-4.29224E-15	-1.64004E-16	-1.14117E-15
42.3889	8.59774E-16	4.44339E-15	3.36198E-15	-6.58069E-16	-1.26243E-15	-5.03511E-15	-1.93805E-16	-1.06497E-15
42.5556	8.57388E-16	4.48356E-15	3.29947E-15	-5.71977E-16	-1.25008E-15	-6.14952E-15	-2.3826E-16	-9.92171E-16
42.7222	8.81735E-16	4.70191E-15	3.32817E-15	-4.04332E-16	-1.00321E-15	-7.90887E-15	-3.08068E-16	-9.23449E-16
42.8889	9.45887E-16	5.19279E-15	3.4922E-15	-1.6235E-16	-4.54129E-16	-1.0714E-14	-4.1875E-16	-8.5609E-16
43.0556	1.04879E-15	5.95244E-15	3.79184E-15	-9.62632E-18	-3.04918E-17	-1.44584E-14	-5.65393E-16	-7.9242E-16
43.2222	1.10539E-15	6.38376E-15	3.9543E-15	0	-3.06166E-26	-1.63253E-14	-6.37178E-16	-7.50939E-16
43.3889	1.10089E-15	6.37877E-15	3.92453E-15	0	0	-1.61056E-14	-6.27701E-16	-7.26006E-16
43.5556	1.10137E-15	6.38427E-15	3.9085E-15	0	0	-1.57844E-14	-6.15028E-16	-7.08705E-16
43.7222	1.10377E-15	6.39309E-15	3.89757E-15	0	0	-1.54449E-14	-6.02197E-16	-6.92972E-16
43.8889	1.10644E-15	6.39854E-15	3.88706E-15	0	0	-1.50898E-14	-5.89145E-16	-6.77296E-16
44.0556	1.10893E-15	6.39937E-15	3.87557E-15	0	0	-1.47225E-14	-5.75879E-16	-6.61471E-16
44.2222	1.11113E-15	6.39327E-15	3.8108E-15	0	0	-1.4343E-14	-5.62518E-16	-6.54583E-16
44.3889	1.11298E-15	6.38791E-15	3.84864E-15	0	0	-1.39664E-14	-5.48977E-16	-6.29425E-16
44.5556	1.11441E-15	6.3766E-15	3.83334E-15	0	0	-1.35846E-14	-5.35496E-16	-6.13341E-16
44.7222	1.11557E-15	6.3623E-15	3.81688E-15	0	0	-1.32041E-14	-5.22089E-16	-5.97253E-16
44.8889	1.11688E-15	6.34548E-15	3.80067E-15	0	0	-1.2827E-14	-5.08811E-16	-5.82101E-16
45.0556	1.11707E-15	6.32659E-15	3.7813E-15	0	0	-1.2455E-14	-4.95711E-16	-5.65378E-16
45.2222	1.11749E-15	6.306E-15	3.76249E-15	0	0	-1.20895E-14	-4.82826E-16	-5.49704E-16
45.3889	1.11774E-15	6.28403E-15	3.74319E-15	0	0	-1.17316E-14	-4.70189E-16	-5.34271E-16
45.5556	1.11784E-15	6.26095E-15	3.72353E-15	0	0	-1.13819E-14	-4.57823E-16	-5.19118E-16
45.7222	1.11782E-15	6.237E-15	3.70362E-15	0	0	-1.10412E-14	-4.45749E-16	-5.04278E-16
45.8889	1.11771E-15	6.21237E-15	3.68354E-15	0	0	-1.07098E-14	-4.3398E-16	-4.89777E-16
46.0556	1.11753E-15	6.18721E-15	3.66338E-15	0	0	-1.03881E-14	-4.22526E-16	-4.75635E-16
46.2222	1.11729E-15	6.16167E-15	3.6432E-15	0	0	-1.00762E-14	-4.11395E-16	-4.61867E-16
46.3889	1.117E-15	6.13585E-15	3.62305E-15	0	0	-9.77415E-15	-4.00591E-16	-4.48482E-16
46.5556	1.11669E-15	6.10984E-15	3.60298E-15	0	0	-9.48204E-15	-3.90114E-16	-4.35488E-16
46.7222	1.11635E-15	6.08372E-15	3.58302E-15	0	0	-9.19979E-15	-3.79965E-16	-4.22886E-16
46.7778	1.11622E-15	6.07326E-15	3.57501E-15	0	0	-9.08963E-15	-3.75997E-16	-4.17934E-16
46.9444	1.6128E-15	7.54836E-15	4.67456E-15	0	0	-9.91047E-15	-4.73092E-16	-5.66623E-16
47.0278	3.2917E-14	2.11161E-16	5.99038E-15	0	0	-4.9689E-16	-2.08602E-14	-2.07179E-14
47.1944	2.53416E-14	6.87272E-16	2.63804E-15	0	0	-2.14662E-15	-2.04644E-14	-9.74457E-16
47.3611	1.92911E-14	6.51643E-16	1.89664E-15	0	0	-2.41111E-15	-1.63809E-14	-6.21336E-16
47.5278	1.77802E-14	6.13121E-16	1.64145E-15	0	0	-2.37269E-15	-1.48403E-14	-5.59127E-16
