TIME	Aqua: aN2O5 -> NO2p + NO3m	Aqua: NO2p + [aH2O] -> NO3m + Hp	Gas: OH + NO2 -> HNO3	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	other sources	other sinks
40.0556	1.77548E-13	1.77548E-13	6.28599E-13	2.02375E-16	1.04827E-13	-4.00829E-14
40.2222	1.84338E-13	1.84338E-13	5.89567E-13	1.99153E-16	1.03513E-13	-3.69011E-14
40.3889	1.9207E-13	1.9207E-13	5.50071E-13	1.95379E-16	1.02097E-13	-3.37218E-14
40.5556	2.00908E-13	2.00908E-13	5.10174E-13	1.91171E-16	1.00609E-13	-3.0563E-14
40.7222	2.11062E-13	2.11062E-13	4.69954E-13	1.86467E-16	9.90894E-14	-2.74434E-14
40.8889	2.22805E-13	2.22805E-13	4.29512E-13	1.81251E-16	9.75838E-14	-2.43826E-14
41.0556	2.36501E-13	2.36501E-13	3.88969E-13	1.75508E-16	9.61508E-14	-2.14016E-14
41.2222	2.52639E-13	2.52639E-13	3.48476E-13	1.69236E-16	9.48635E-14	-1.85229E-14
41.3889	2.719E-13	2.719E-13	3.08217E-13	1.62424E-16	9.38161E-14	-1.57714E-14
41.5556	2.95251E-13	2.95251E-13	2.68413E-13	1.55072E-16	9.31335E-14	-1.31748E-14
41.7222	3.24111E-13	3.24111E-13	2.29338E-13	1.47175E-16	9.29911E-14	-1.07645E-14
41.8889	3.60631E-13	3.60631E-13	1.9133E-13	1.3871E-16	9.36372E-14	-8.57681E-15
42.0556	4.08212E-13	4.08212E-13	1.54824E-13	1.29658E-16	9.54509E-14	-6.65464E-15
42.2222	4.72469E-13	4.72469E-13	1.204E-13	1.19934E-16	9.90428E-14	-5.04948E-15
42.3889	5.63119E-13	5.63119E-13	8.88566E-14	1.09433E-16	1.05434E-13	-3.82457E-15
42.5556	6.97665E-13	6.97665E-13	6.13158E-14	9.78565E-17	1.16426E-13	-3.05872E-15
42.7222	9.07606E-13	9.07606E-13	3.93018E-14	8.44328E-17	1.35145E-13	-2.84844E-15
