TIME	Aqua: aO=C(O)CC(O)(O)O[O] -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(O)[O] + aO2 -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(=O)O[O] -> aO=C(O)CC(=O)O + aHO2 + [aH2O	Aqua: aO=C([O-])CC(O)(O)O[O] -> aO=C(O)CC(=O)[O-] + aHO2	Aqua: aO=C([O-])CC(O)[O] + aO2 -> aO=C(O)CC(=O)[O-] + aH	other sources	Aqua: aO=C(O)CC(=O)[O-] + aHO -> aO=C(O)[C]C(=O)[O-] + a	Aqua: aO=C(O)CC(=O)[O-] + aNO3 -> aO=C(O)[C]C(=O)[O-] +	other sinks
33.6944	2.51629E-16	1.37526E-16	1.19893E-17	3.21049E-18	9.96217E-19	7.00749E-17	-2.20324E-16	-2.16647E-17	-3.2876E-16
33.8611	2.64618E-16	1.44628E-16	1.20581E-17	3.38593E-18	1.05074E-18	7.41205E-17	-2.32357E-16	-2.16034E-17	-3.45493E-16
34.0278	2.77689E-16	1.51775E-16	1.21419E-17	3.56327E-18	1.10584E-18	7.82804E-17	-2.44458E-16	-2.15559E-17	-3.62246E-16
34.1944	2.9081E-16	1.58949E-16	1.22405E-17	3.74213E-18	1.16142E-18	8.25509E-17	-2.56597E-16	-2.15212E-17	-3.78968E-16
34.3611	3.03947E-16	1.66132E-16	1.23536E-17	3.92211E-18	1.21734E-18	8.6928E-17	-2.68741E-16	-2.14988E-17	-3.95611E-16
34.5278	3.17064E-16	1.73304E-16	1.24809E-17	4.10279E-18	1.27348E-18	9.14065E-17	-2.80857E-16	-2.14882E-17	-4.12122E-16
34.6944	3.30122E-16	1.80444E-16	1.26225E-17	4.28371E-18	1.3297E-18	9.59795E-17	-2.92912E-16	-2.14887E-17	-4.28448E-16
34.8611	3.43082E-16	1.8753E-16	1.27781E-17	4.46442E-18	1.38584E-18	1.00639E-16	-3.04869E-16	-2.15003E-17	-4.44533E-16
35.0278	3.55899E-16	1.94537E-16	1.29477E-17	4.64438E-18	1.44175E-18	1.05375E-16	-3.16693E-16	-2.1523E-17	-4.60322E-16
35.0833	3.60976E-16	1.97313E-16	1.30195E-17	4.71604E-18	1.46401E-18	1.07289E-16	-3.21376E-16	-2.15351E-17	-4.66541E-16
35.25	6.1517E-16	3.43505E-16	1.81326E-17	0	0	1.85108E-16	-8.01309E-16	-3.74944E-17	-1.05447E-15
35.3333	1.23086E-16	6.86106E-17	1.55927E-18	2.93187E-15	9.29802E-16	3.30223E-16	-2.95802E-15	-9.79979E-17	-1.31933E-14
35.5	7.77106E-16	4.32155E-16	1.12654E-17	2.70373E-15	8.53218E-16	4.69402E-16	-4.91539E-15	-2.30596E-16	-3.36288E-15
35.6667	1.18657E-15	6.61964E-16	2.20346E-17	2.01811E-15	6.3773E-16	4.30605E-16	-5.09441E-15	-2.48943E-16	-1.74252E-15
35.8333	1.43873E-15	8.04744E-16	3.32997E-17	1.67552E-15	5.30689E-16	3.79367E-16	-5.18837E-15	-2.53452E-16	-1.24874E-15
36	1.63672E-15	9.16973E-16	4.41969E-17	1.44699E-15	4.59107E-16	3.47718E-16	-5.25533E-15	-2.54685E-16	-1.00719E-15
36.1667	1.80548E-15	1.01259E-15	5.50427E-17	1.26982E-15	4.03408E-16	3.26728E-16	-5.2923E-15	-2.5444E-16	-8.63328E-16
36.3333	1.95008E-15	1.09443E-15	6.58432E-17	1.12734E-15	3.58489E-16	3.1265E-16	-5.29893E-15	-2.53342E-16	-7.72828E-16
36.5	2.07299E-15	1.16391E-15	7.65128E-17	1.01166E-15	3.21934E-16	3.03998E-16	-5.27818E-15	-2.51756E-16	-7.15515E-16
36.6389	2.14731E-15	1.20586E-15	8.38774E-17	9.43424E-16	3.00332E-16	3.00494E-16	-5.24935E-15	-2.50491E-16	-6.88599E-16
36.8056	4.87103E-16	2.68701E-16	3.58595E-17	1.1003E-17	0	6.92046E-17	-3.41061E-16	-4.51513E-17	-2.48386E-16
36.8889	4.86012E-16	2.65098E-16	4.41829E-17	1.39625E-17	4.32674E-18	6.95253E-17	-3.31372E-16	-4.41829E-17	-2.19554E-16
37.0556	5.13291E-16	2.80229E-16	3.25783E-17	1.13708E-17	3.52474E-18	8.27623E-17	-2.81048E-16	-3.64216E-17	-2.44999E-16
37.2222	5.33412E-16	2.911E-16	3.03568E-17	9.5916E-18	2.97368E-18	9.49071E-17	-2.47191E-16	-3.14409E-17	-2.63641E-16
37.3889	5.5049E-16	3.00542E-16	2.8695E-17	8.43588E-18	2.61565E-18	1.04555E-16	-2.23518E-16	-2.79398E-17	-2.78714E-16
37.5556	5.65297E-16	3.0868E-16	2.75387E-17	7.668E-18	2.37822E-18	1.13079E-16	-2.07019E-16	-2.52094E-17	-2.91377E-16
37.7222	5.78743E-16	3.16023E-16	2.66461E-17	7.15277E-18	2.21935E-18	1.20338E-16	-1.95803E-16	-2.33818E-17	-3.02211E-16
37.8889	5.90752E-16	3.22586E-16	2.60474E-17	6.80677E-18	2.11147E-18	1.26562E-16	-1.88279E-16	-2.21527E-17	-3.1153E-16
38.0556	6.01289E-16	3.28343E-16	2.56944E-17	6.57748E-18	2.04039E-18	1.31865E-16	-1.83372E-16	-2.13233E-17	-3.19489E-16
38.2222	6.10197E-16	3.3321E-16	2.554E-17	6.42749E-18	1.99375E-18	1.36333E-16	-1.80294E-16	-2.07942E-17	-3.26144E-16
38.3889	6.17321E-16	3.37101E-16	2.55458E-17	6.33101E-18	1.96407E-18	1.40027E-16	-1.78455E-16	-2.04947E-17	-3.31512E-16
38.5556	6.22535E-16	3.39947E-16	2.56811E-17	6.26964E-18	1.94503E-18	1.42995E-16	-1.77411E-16	-2.03739E-17	-3.35595E-16
38.7222	6.25749E-16	3.417E-16	2.59224E-17	6.2291E-18	1.93327E-18	1.45273E-16	-1.76823E-16	-2.03953E-17	-3.38392E-16
38.8889	6.26908E-16	3.4233E-16	2.6252E-17	6.2002E-18	1.92344E-18	1.46902E-16	-1.76434E-16	-2.05327E-17	-3.39908E-16
39.0556	6.25991E-16	3.41825E-16	2.66574E-17	6.17429E-18	1.91535E-18	1.47903E-16	-1.76048E-16	-2.07676E-17	-3.40153E-16
39.2222	6.23E-16	3.40187E-16	2.71303E-17	6.146E-18	1.9065E-18	1.48301E-16	-1.75512E-16	-2.10875E-17	-3.39143E-16
39.3889	6.17963E-16	3.3743E-16	2.76661E-17	6.11109E-18	1.89559E-18	1.48121E-16	-1.74715E-16	-2.14848E-17	-3.36905E-16
39.5556	6.10925E-16	3.33581E-16	2.82635E-17	6.06647E-18	1.88164E-18	1.47386E-16	-1.73572E-16	-2.19555E-17	-3.3347E-16
39.7222	6.01952E-16	3.28673E-16	2.89238E-17	6.00994E-18	1.86398E-18	1.46118E-16	-1.72023E-16	-2.24989E-17	-3.28878E-16
39.8889	5.91125E-16	3.22752E-16	2.96518E-17	5.94006E-18	1.84217E-18	1.44341E-16	-1.70025E-16	-2.31179E-17	-3.23177E-16
40.0556	5.78541E-16	3.15872E-16	3.04537E-17	5.85573E-18	1.81596E-18	1.42082E-16	-1.67554E-16	-2.38162E-17	-3.1642E-16
40.2222	5.64311E-16	3.08092E-16	3.13412E-17	5.75721E-18	1.7851E-18	1.39374E-16	-1.64598E-16	-2.46035E-17	-3.08673E-16
40.3889	5.48562E-16	2.99481E-16	3.23286E-17	5.64388E-18	1.74975E-18	1.36245E-16	-1.61155E-16	-2.54915E-17	-3.00004E-16
40.5556	5.3143E-16	2.90115E-16	3.34351E-17	5.51638E-18	1.70997E-18	1.32735E-16	-1.57236E-16	-2.6496E-17	-2.9049E-16
40.7222	5.1307E-16	2.80076E-16	3.46864E-17	5.3754E-18	1.66599E-18	1.28885E-16	-1.52858E-16	-2.76387E-17	-2.80218E-16
40.8889	4.93644E-16	2.69454E-16	3.61166E-17	5.22197E-18	1.61812E-18	1.24743E-16	-1.48046E-16	-2.89487E-17	-2.69276E-16
41.0556	4.73331E-16	2.58347E-16	3.77713E-17	5.05741E-18	1.56674E-18	1.20361E-16	-1.42833E-16	-3.04653E-17	-2.57764E-16
41.2222	4.52321E-16	2.46857E-16	3.97131E-17	4.88333E-18	1.51238E-18	1.15799E-16	-1.37257E-16	-3.22421E-17	-2.45784E-16
41.3889	4.30821E-16	2.35097E-16	4.20289E-17	4.70168E-18	1.45562E-18	1.11127E-16	-1.31362E-16	-3.43545E-17	-2.33444E-16
41.5556	4.09057E-16	2.2319E-16	4.48433E-17	4.51479E-18	1.39727E-18	1.06424E-16	-1.25197E-16	-3.69105E-17	-2.20862E-16
41.7222	3.87282E-16	2.11272E-16	4.83399E-17	4.3257E-18	1.33792E-18	1.01788E-16	-1.18815E-16	-4.007E-17	-2.08157E-16
41.8889	3.65787E-16	1.99502E-16	5.27994E-17	4.13797E-18	1.27898E-18	9.7342E-17	-1.12275E-16	-4.40775E-17	-1.95459E-16
42.0556	3.44934E-16	1.88074E-16	5.86687E-17	3.95661E-18	1.22183E-18	9.32549E-17	-1.05638E-16	-4.93232E-17	-1.82913E-16
42.2222	3.25197E-16	1.77243E-16	6.66941E-17	3.78873E-18	1.16859E-18	8.97717E-17	-9.89708E-17	-5.64591E-17	-1.70683E-16
42.3889	3.07255E-16	1.67371E-16	7.81849E-17	3.64529E-18	1.12248E-18	8.72811E-17	-9.23424E-17	-6.663E-17	-1.58966E-16
