TIME	Aqua: HSO3m + aH2O2 + Hp -> SO4mm + Hp + [aH2O]	Aqua: SO3mm + aO3 -> SO4mm + aO2	Aqua: HSO5m + HSO3m + Hp -> SO4mm + Hp	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	Gas: HSO3 -> HO2 + SULF	other sources	other sinks
35.6667	8.97546E-12	6.21022E-13	1.00119E-14	3.34582E-13	1.80067E-14	3.1027E-13	-2.25183E-15
35.8333	6.71289E-12	2.80892E-13	5.20416E-15	3.71143E-13	1.75715E-14	2.12508E-13	-2.34071E-15
36	6.04836E-12	1.56634E-13	3.32104E-15	3.99699E-13	1.71405E-14	1.64715E-13	-2.40585E-15
36.1667	5.81536E-12	9.57721E-14	2.32541E-15	4.22892E-13	1.66456E-14	1.34358E-13	-2.46793E-15
36.3333	5.70001E-12	6.23975E-14	1.72516E-15	4.4105E-13	1.60869E-14	1.13201E-13	-2.52675E-15
36.5	5.61317E-12	4.28199E-14	1.33193E-15	4.54261E-13	1.54769E-14	9.77419E-14	-2.58293E-15
36.6389	5.55464E-12	3.37793E-14	1.13101E-15	4.60719E-13	1.50265E-14	8.92202E-14	-2.62312E-15
36.8056	8.89957E-15	7.33984E-20	5.77735E-21	1.10339E-15	8.43571E-14	3.5657E-15	-9.19492E-16
36.8889	5.45781E-15	4.64755E-20	2.93982E-21	0	9.91632E-14	3.4142E-15	0
37.0556	7.28912E-15	2.7567E-20	2.97422E-21	4.69296E-16	1.00452E-13	3.9062E-15	-1.73539E-15
37.2222	9.14652E-15	1.85077E-20	3.11556E-21	3.98779E-16	1.01978E-13	4.20964E-15	-1.96664E-15
37.3889	1.10295E-14	1.37315E-20	3.24175E-21	6.46911E-16	1.03086E-13	4.36119E-15	-1.93865E-15
37.5556	1.29341E-14	1.09718E-20	3.37594E-21	2.4942E-16	1.03779E-13	4.3904E-15	-2.18608E-15
37.7222	1.48567E-14	0	0	2.72497E-16	1.0408E-13	4.33027E-15	-2.25328E-15
37.8889	1.67941E-14	8.25823E-21	3.67962E-21	2.55994E-16	1.04005E-13	4.21487E-15	-2.3392E-15
38.0556	1.87411E-14	0	0	2.43262E-16	1.03563E-13	4.07342E-15	-2.41193E-15
38.2222	2.06928E-14	0	0	2.34677E-16	1.02766E-13	3.92702E-15	-2.47314E-15
38.3889	2.26424E-14	6.97699E-21	4.15987E-21	2.28439E-16	1.0162E-13	3.7906E-15	-2.52489E-15
38.5556	2.45832E-14	6.86808E-21	4.33477E-21	2.24119E-16	1.00135E-13	3.67034E-15	-2.56872E-15
38.7222	2.65088E-14	0	0	2.2075E-16	9.83188E-14	3.5651E-15	-2.60594E-15
38.8889	2.84096E-14	6.89826E-21	4.67302E-21	2.18242E-16	9.6181E-14	3.48738E-15	-2.63873E-15
39.0556	3.02809E-14	6.98779E-21	4.8041E-21	2.15998E-16	9.37316E-14	3.42305E-15	-2.66748E-15
39.2222	3.21152E-14	7.11125E-21	4.95311E-21	2.1404E-16	9.09816E-14	3.37415E-15	-2.69352E-15
39.3889	3.39063E-14	7.27817E-21	5.0873E-21	2.12112E-16	8.79432E-14	3.33847E-15	-2.71778E-15
39.5556	3.56484E-14	7.61837E-21	5.07892E-21	2.10074E-16	8.463E-14	3.31404E-15	-2.74119E-15
39.7222	3.73364E-14	7.69917E-21	5.26785E-21	2.07825E-16	8.10572E-14	3.29928E-15	-2.76465E-15
39.8889	3.8966E-14	7.92307E-21	5.35228E-21	2.04556E-16	7.72418E-14	3.29307E-15	-2.78917E-15
40.0556	4.05336E-14	0	0	2.02406E-16	7.32027E-14	3.2953E-15	-2.81652E-15
40.2222	4.20349E-14	8.41107E-21	5.47172E-21	1.99243E-16	6.89612E-14	3.30401E-15	-2.84534E-15
40.3889	4.34686E-14	8.68065E-21	5.50708E-21	1.95375E-16	6.45405E-14	3.32119E-15	-2.87941E-15
40.5556	4.48325E-14	8.9869E-21	5.47865E-21	1.91171E-16	5.99666E-14	3.347E-15	-2.91969E-15
40.7222	4.61256E-14	9.38498E-21	5.63099E-21	1.86467E-16	5.5268E-14	3.38276E-15	-2.96808E-15
40.8889	4.73473E-14	1.267E-20	0	1.8125E-16	5.04758E-14	3.43046E-15	-3.02709E-15
41.0556	4.84977E-14	9.85425E-21	5.3939E-21	1.75517E-16	4.56241E-14	3.49297E-15	-3.09992E-15
41.2222	4.95775E-14	1.01806E-20	5.3024E-21	1.69231E-16	4.07495E-14	3.57432E-15	-3.19092E-15
41.3889	5.0588E-14	1.34961E-20	0	1.62427E-16	3.58922E-14	3.68018E-15	-3.306E-15
41.5556	5.15309E-14	0	0	1.55075E-16	3.10954E-14	3.81902E-15	-3.45358E-15
41.7222	5.24084E-14	1.10868E-20	5.00874E-21	1.47174E-16	2.64065E-14	4.00242E-15	-3.64562E-15
41.8889	5.3223E-14	1.14103E-20	4.87373E-21	1.38707E-16	2.18785E-14	4.24942E-15	-3.9009E-15
42.0556	5.39777E-14	0	0	1.29645E-16	1.75721E-14	4.58939E-15	-4.24873E-15
42.2222	5.46756E-14	1.20412E-20	4.64956E-21	1.19934E-16	1.35604E-14	5.07141E-15	-4.73808E-15
42.3889	5.53204E-14	1.275E-20	4.78126E-21	1.09433E-16	9.9353E-15	5.78184E-15	-5.45492E-15
42.5556	5.5916E-14	1.26564E-20	4.5112E-21	9.7859E-17	6.81724E-15	6.87887E-15	-6.55682E-15
42.7222	5.64663E-14	1.2931E-20	4.54861E-21	8.44373E-17	4.36166E-15	8.65362E-15	-8.3339E-15
42.8889	5.6975E-14	0	0	6.83294E-17	2.74001E-15	1.15447E-14	-1.12293E-14
43.0556	5.74416E-14	1.32554E-20	5.09823E-21	4.67063E-17	1.99316E-15	1.55295E-14	-1.52024E-14
43.2222	5.64514E-14	0	0	0	1.79599E-15	1.77805E-14	-1.56338E-14
43.3889	5.83145E-14	1.34449E-20	5.39316E-21	3.21991E-17	1.77006E-15	1.77866E-14	-1.74512E-14
43.5556	5.87374E-14	1.35909E-20	5.4211E-21	3.3198E-17	1.79042E-15	1.77594E-14	-1.7422E-14
43.7222	5.91552E-14	1.37349E-20	5.52465E-21	3.12608E-17	1.82307E-15	1.77217E-14	-1.73877E-14
43.8889	5.95677E-14	1.38766E-20	5.55066E-21	3.19848E-17	1.85991E-15	1.76729E-14	-1.73331E-14
44.0556	5.9975E-14	1.40162E-20	5.65295E-21	3.25025E-17	1.89868E-15	1.76133E-14	-1.72704E-14
44.2222	6.03768E-14	1.42316E-20	5.67709E-21	0	1.93836E-15	1.75448E-14	-9.9351E-15
44.3889	6.07753E-14	0	0	3.53172E-17	1.97832E-15	1.74637E-14	-1.71193E-14
44.5556	6.1164E-14	1.53346E-20	6.13384E-21	3.40032E-17	2.01814E-15	1.7388E-14	-1.70388E-14
44.7222	6.15492E-14	1.47939E-20	5.9018E-21	3.45227E-17	2.05755E-15	1.73027E-14	-1.69512E-14
44.8889	6.1932E-14	0	0	4.08008E-17	2.09641E-15	1.72337E-14	-1.68606E-14
45.0556	6.23028E-14	0	0	3.55701E-17	2.13461E-15	1.71238E-14	-1.67673E-14
45.2222	6.26711E-14	1.48123E-20	6.34814E-21	3.60216E-17	2.17212E-15	1.7032E-14	-1.66738E-14
